key,english,swahili
"companyProfile.leaveBudgetLabel","Annual Leave Budget (days)","Bajeti ya Likizo ya Mwaka (siku)"
"companyProfile.leaveBudgetPlaceholder","e.g. 20","k.m. 20"
"companyProfile.leaveBudgetNote","Total leave days available per employee per year","Jumla ya siku za likizo zinazopatikana kwa kila mfanyakazi kwa mwaka"
"companyProfile.back","Back","Nyuma"
"companyProfile.continue","Continue","Endelea"
"companyProfile.saving","Saving…","Inahifadhi..."
"companyProfile.saveProfile","Save Profile","Hifadhi Wasifu"
"companyProfile.ownerOnlyTitle","Owner access only","Ufikiaji wa mmiliki pekee"
"companyProfile.ownerOnlyBody","Only the company owner can view or edit the company profile.","Mmiliki wa kampuni pekee ndiye anayeweza kuona au kuhariri wasifu wa kampuni."
"companyProfile.errCompanyNotFound","Company not found. Please log out and log back in.","Kampuni haikupatikana. Tafadhali toka na uingie tena."
"companyProfile.updateFailed","Update Failed","Usasishaji Umeshindwa"
"companyProfile.successTitle","Success","Mafanikio"
"companyProfile.successBody","Company profile updated.","Wasifu wa kampuni umesasishwa."
"companyProfile.saveFailed","Failed to save changes.","Imeshindwa kuhifadhi mabadiliko."
"companyProfile.incompleteTitle","Incomplete Form","Fomu Isiyokamilika"
"companyProfile.incompleteBody","Please fill in all required fields.","Tafadhali jaza sehemu zote zinazohitajika."
"companyProfile.vCompanyName","Company name is required","Jina la kampuni linahitajika"
"companyProfile.vBrn","BRN is required","BRN inahitajika"
"companyProfile.vEmail","Enter a valid email","Weka barua pepe halali"
"companyProfile.vNumber","Must be a number","Lazima iwe nambari"
"employeeDetail.loading","Loading employee details...","Inapakia maelezo ya mfanyakazi..."
"employeeDetail.goodMorning","Good Morning","Habari za Asubuhi"
"employeeDetail.goodAfternoon","Good Afternoon","Mchana Mwema"
"employeeDetail.goodEvening","Good Evening","Jioni Njema"
"employeeDetail.employeeFallback","Employee","Mfanyakazi"
"employeeDetail.staff","STAFF","WAFANYAKAZI"
"employeeDetail.member","Member","Mwanachama"
"employeeDetail.general","General","Mkuu"
"employeeDetail.goBack","Go Back","Rudi Nyuma"
"employeeDetail.errLoadFailed","Failed to load employee details","Imeshindwa kupakia maelezo ya mfanyakazi"
"employeeDetail.errNoCompany","No company ID found","Hakuna kitambulisho cha kampuni kilichopatikana"
"employeeDetail.errFetchUsers","Failed to fetch users","Imeshindwa kuleta watumiaji"
"employeeDetail.errNotInCompany","Employee not found or not in your company","Mfanyakazi hakupatikana au hayupo katika kampuni yako"
"employeeDetail.joined","JOINED","AMEJIUNGA"
"employeeDetail.loginId","LOGIN ID","INGIA KITAMBULISHO"
"employeeDetail.department","DEPARTMENT","IDARA"
"employeeDetail.personalDetails","Personal Details","Maelezo ya Kibinafsi"
"employeeDetail.fullName","FULL NAME","JINA KAMILI"
"employeeDetail.emailAddress","EMAIL ADDRESS","ANWANI YA BARUA PEPE"
"employeeDetail.userType","USER TYPE","AINA YA MTUMIAJI"
"employeeDetail.employment","Employment","Ajira"
"employeeDetail.jobTitle","JOB TITLE","KICHWA CHA KAZI"
"employeeDetail.noJobDefined","No Job Defined","Hakuna Kazi Imebainishwa"
"employeeDetail.primaryLocation","PRIMARY LOCATION","ENEO LA MSINGI"
"employeeDetail.activeMission","ON MISSION","KWENYE UTUME"
"employeeDetail.missionSince","Since","Tangu"
"employeeDetail.compensation","Compensation","Malipo"
"employeeDetail.monthly","MONTHLY","MWEZI"
"employeeDetail.hourly","HOURLY","HOURY"
"employeeDetail.daily","DAILY","KILA SIKU"
"employeeDetail.hourlyRate","HOURLY RATE","KIWANGO CHA SAA"
"employeeDetail.dailyRate","DAILY RATE","KIWANGO CHA KILA SIKU"
"employeeDetail.monthlyEquivalent","MONTHLY EQUIVALENT","SAWA NA MWEZI"
"employeeDetail.monthlyRevenue","MONTHLY REVENUE","MAPATO YA MWEZI"
"employeeDetail.targetWorkHours","TARGET WORK HOURS","SAA ZA KAZI LENGO"
"employeeDetail.hrs","hrs","saa"
"employeeDetail.calculatedHourlyRate","Calculated Hourly Rate","Kiwango cha Saa kilichohesabiwa"
"employeeDetail.perHr","/ HR","/ HR"
"employeeDetail.rateDerived","Rate is derived from monthly revenue and target hours","Kiwango kinatokana na mapato ya kila mwezi na saa lengwa"
"employeeDetail.noCompensation","No compensation data available","Hakuna data ya fidia inayopatikana"
"employeeDetail.recentAttendance","Recent Attendance","Mahudhurio ya Hivi Karibuni"
"employeeDetail.lastNDays","LAST {{count}} DAYS","SIKU {{count}} ILIYOPITA"
"employeeDetail.inProgress","IN PROGRESS","INAENDELEA"
"multipleEmployer.limitReachedTitle","Limit Reached","Kikomo Kimefikiwa"
"multipleEmployer.limitReachedBody","You can add up to {{count}} employers only.","Unaweza kuongeza hadi waajiri {{count}} pekee."
"multipleEmployer.cannotRemoveTitle","Cannot Remove","Haiwezi Kuondoa"
"multipleEmployer.cannotRemoveBody","You must have at least one employer.","Lazima uwe na angalau mwajiri mmoja."
"multipleEmployer.primaryEmployerTitle","Primary Employer","Mwajiri wa Msingi"
"multipleEmployer.primaryEmployerBody","This is your primary employer. The first remaining employer will become your new primary employer.","Huyu ndiye mwajiri wako mkuu. Mwajiri wa kwanza aliyesalia atakuwa mwajiri wako mkuu mpya."
"multipleEmployer.remove","Remove","Ondoa"
"multipleEmployer.employmentInfo","Employment Information","Taarifa za Ajira"
"multipleEmployer.addEmployer","+ Add Employer","+ Ongeza Mwajiri"
"multipleEmployer.infoText","You can add up to {{count}} employers. Your primary employer will be used for main employment verification.","Unaweza kuongeza hadi {{count}} waajiri. Mwajiri wako mkuu atatumika kwa uthibitishaji mkuu wa ajira."
"multipleEmployer.employerN","Employer {{number}}","Mwajiri {{number}}"
"multipleEmployer.primary","PRIMARY","MSINGI"
"multipleEmployer.jobTitleNotSet","Job title not set","Jina la kazi halijawekwa"
"multipleEmployer.companyInfo","Company Information","Taarifa za Kampuni"
"multipleEmployer.companyName","Company Name *","Jina la Kampuni *"
"multipleEmployer.companyNamePlaceholder","Enter company name","Ingiza jina la kampuni"
"multipleEmployer.companyBrn","Company BRN *","Kampuni BRN *"
"multipleEmployer.companyBrnPlaceholder","e.g., C21123456","k.m., C21123456"
"multipleEmployer.jobTitle","Job Title *","Jina la Kazi *"
"multipleEmployer.jobTitlePlaceholder","Enter your job title","Weka jina lako la kazi"
"multipleEmployer.companyEmail","Company Email *","Barua pepe ya Kampuni *"
"multipleEmployer.companyEmailPlaceholder","hr@company.com","hr@company.com"
"multipleEmployer.companyPhone","Company Phone *","Simu ya Kampuni *"
"multipleEmployer.companyPhonePlaceholder","+230 XXX XXXX","+230 XXXXXX"
"multipleEmployer.companyAddress","Company Address *","Anwani ya Kampuni *"
"multipleEmployer.companyAddressPlaceholder","Company address","Anwani ya kampuni"
"multipleEmployer.setAsPrimary","Set as Primary Employer","Weka kama Mwajiri Mkuu"
"multipleEmployer.primaryBtn","Primary","Msingi"
"multipleEmployer.setPrimaryBtn","Set Primary","Weka Msingi"
"multipleEmployer.addFirstEmployer","Add Your First Employer","Ongeza Mwajiri wako wa Kwanza"
"expensesScreen.pageTitle","Expenses","Matumizi"
"expensesScreen.walletBalance","Wallet Balance","Salio la Wallet"
"expensesScreen.loadingFinancials","Loading Financials...","Inapakia Kifedha..."
"expensesScreen.errorLoadingData","Error Loading Data","Hitilafu katika Kupakia Data"
"expensesScreen.catStatus","Status","Hali"
"expensesScreen.catRent","Rent","Kodisha"
"expensesScreen.catPurchases","Purchases","Ununuzi"
"expensesScreen.catSubscriptions","Subscriptions","Usajili"
"expensesScreen.catLoans","Loans","Mikopo"
"expensesScreen.netSurplus","Net Surplus","Ziada Halisi"
"expensesScreen.breakEven","Break Even","Vunja Sawa"
"expensesScreen.netDeficit","Net Deficit","Nakisi halisi"
"expensesScreen.totalIncome","Total Income","Jumla ya Mapato"
"expensesScreen.totalExpenses","Total Expenses","Jumla ya Gharama"
"expensesScreen.health","Health","Afya"
"expensesScreen.activeSubscriptions","Active Subscriptions","Usajili Unaotumika"
"expensesScreen.totalDebt","Total Debt","Jumla ya Deni"
"expensesScreen.topCategory","Top Category","Aina ya Juu"
"expensesScreen.noSpend","No Spend","Hakuna Matumizi"
"expensesScreen.itemsLabel","{{count}} Items","Vipengee {{count}}"
"expensesScreen.sixMonthOverview","6-Month Overview","Muhtasari wa Miezi 6"
"expensesScreen.spendingTrend","Spending Trend","Mwenendo wa Matumizi"
"expensesScreen.breakdown","Breakdown","Uchanganuzi"
"expensesScreen.byCategory","By Category","Kwa Jamii"
"expensesScreen.healthTracking","Tracking Spending","Kufuatilia Matumizi"
"expensesScreen.healthPositive","Positive Flow","Mtiririko Chanya"
"expensesScreen.healthNeutral","Neutral Flow","Mtiririko wa Neutral"
"expensesScreen.healthExpense","Expense Focus","Kuzingatia Gharama"
"expensesScreen.piePurchases","Purchases","Ununuzi"
"expensesScreen.pieSubscriptions","Subscriptions","Usajili"
"expensesScreen.pieTransfers","Transfers","Uhamisho"
"expensesScreen.pieRepayments","Repayments","Malipo"
"expensesScreen.pieReceived","Received","Imepokelewa"
"expensesScreen.donutTotal","TOTAL","JUMLA"
"expensesScreen.noResults","No results found","Hakuna matokeo yaliyopatikana"
"expensesScreen.noResultsHint","Try searching for something else.","Jaribu kutafuta kitu kingine."
"expensesScreen.noEntriesYet","No {{category}} yet","Bado hakuna {{category}}"
"expensesScreen.noEntriesHint","Tap the button below to add your first entry!","Gusa kitufe kilicho hapa chini ili kuongeza ingizo lako la kwanza!"
"expensesScreen.searchPlaceholder","Search {{category}}...","Tafuta {{category}}..."
"expensesScreen.sortDate","Date","Tarehe"
"expensesScreen.sortAmount","Amount","Kiasi"
"expensesScreen.lowToHigh","Low to High","Chini hadi Juu"
"expensesScreen.highToLow","High to Low","Juu hadi Chini"
"expensesScreen.rentDefaultLabel","Rent payment","Malipo ya kodi"
"expensesScreen.dueDayLabel","Due day: {{day}}{{recurring}}","Siku ya kukamilisha: {{day}}T1__"
"expensesScreen.recurring","Recurring","Inarudiwa"
"expensesScreen.oneTime","One-time","Mara moja"
"expensesScreen.percentRepaid","{{percent}}% Repaid","{{percent}}% Imerejeshwa"
"expensesScreen.remainingPrefix","Rem: {{amount}}","Rem: {{amount}}"
"expensesScreen.itemsCount","{{count}} items","{{count}} vipengee"
"expensesScreen.paymentProgress","Payment Progress","Maendeleo ya Malipo"
"expensesScreen.totalRentExpense","TOTAL RENT EXPENSE","GHARAMA YA KUKODISHA"
"expensesScreen.addEntryButton","Add {{category}}","Ongeza {{category}}"
"expensesScreen.modalAddTitle","Add {{category}}","Ongeza {{category}}"
"expensesScreen.modalEditTitle","Edit {{category}}","Hariri {{category}}"
"expensesScreen.modalUpdateSubtitle","Update transaction details","Sasisha maelezo ya muamala"
"expensesScreen.modalCompleteSubtitle","Complete the form below","Jaza fomu iliyo hapa chini"
"expensesScreen.basicInformation","Basic Information","Taarifa za Msingi"
"expensesScreen.fieldDescription","Description","Maelezo"
"expensesScreen.fieldAmount","Amount ({{code}})","Kiasi ({{code}})"
"expensesScreen.fieldDate","Date","Tarehe"
"expensesScreen.fieldLandlordName","Landlord Name","Jina la Mwenye nyumba"
"expensesScreen.fieldPropertyAddress","Property Address","Anwani ya Mali"
"expensesScreen.fieldDueDay","Due Day (1-31)","Siku ya Malipo (1-31)"
"expensesScreen.fieldMerchant","Merchant","Mfanyabiashara"
"expensesScreen.fieldCategory","Category","Kitengo"
"expensesScreen.fieldLenderName","Lender Name","Jina la Mkopeshaji"
"expensesScreen.fieldDurationMonths","Duration (months)","Muda (miezi)"
"expensesScreen.fieldInterestRate","Interest Rate (%)","Kiwango cha riba (%)"
"expensesScreen.fieldPaymentFrequency","Payment Frequency","Mzunguko wa Malipo"
"expensesScreen.recurringLoan","Recurring Loan","Mkopo wa Mara kwa Mara"
"expensesScreen.placeholderDescRent","e.g. Monthly apartment rent","k.m. Kodi ya kila mwezi ya ghorofa"
"expensesScreen.placeholderDescSubs","e.g. Netflix monthly plan","k.m. Mpango wa kila mwezi wa Netflix"
"expensesScreen.placeholderDescLoan","e.g. Car Loan / School Fees Loan","k.m. Mkopo wa Gari / Ada ya Shule"
"expensesScreen.placeholderDescPurchase","e.g. Shopping, Rent","k.m. Ununuzi, Kukodisha"
"expensesScreen.placeholderLandlord","Landlord name","Jina la mwenye nyumba"
"expensesScreen.placeholderPropertyAddress","Property address","Anwani ya mali"
"expensesScreen.placeholderStore","Store","Hifadhi"
"expensesScreen.placeholderTagOrCustom","Select tag or type custom...","Chagua lebo au charaza maalum..."
"expensesScreen.placeholderBankOrPerson","Bank or person","Benki au mtu"
"expensesScreen.placeholderDateFormat","YYYY-MM-DD","YYYY-MM-DD"
"expensesScreen.placeholderAmountZero","0.00","0.00"
"expensesScreen.quickTemplates","Quick Templates","Violezo vya Haraka"
"expensesScreen.loanTemplates","Loan Templates","Violezo vya Mkopo"
"expensesScreen.tipServiceName","Tip: Use the service name so your history stays easy to scan.","Kidokezo: Tumia jina la huduma ili historia yako iwe rahisi kuchanganua."
"expensesScreen.tipPickTemplate","Tip: Pick a template and adjust details below.","Kidokezo: Chagua kiolezo na urekebishe maelezo hapa chini."
"expensesScreen.tagGroceries","Groceries","Vyakula"
"expensesScreen.tagTransport","Transport","Usafiri"
"expensesScreen.tagUtilities","Utilities","Huduma"
"expensesScreen.tagDining","Dining","Kula"
"expensesScreen.tagEntertainment","Entertainment","Burudani"
"expensesScreen.tagHealth","Health","Afya"
"expensesScreen.tagShopping","Shopping","Ununuzi"
"expensesScreen.tagTravel","Travel","Safari"
"expensesScreen.subTplNetflix","Netflix","Netflix"
"expensesScreen.subTplSpotify","Spotify","Spotify"
"expensesScreen.subTplAppleMusic","Apple Music","Muziki wa Apple"
"expensesScreen.subTplInternetBill","Internet Bill","Mswada wa Mtandao"
"expensesScreen.subTplGymMembership","Gym Membership","Uanachama wa Gym"
"expensesScreen.subTplCloudStorage","Cloud Storage","Hifadhi ya Wingu"
"expensesScreen.loanTplCarLoan","Car Loan","Mkopo wa gari"
"expensesScreen.loanTplBusinessLoan","Business Loan","Mkopo wa Biashara"
"expensesScreen.loanTplSchoolFeesLoan","School Fees Loan","Mkopo wa Ada za Shule"
"expensesScreen.loanTplEmergencyLoan","Emergency Loan","Mkopo wa Dharura"
"expensesScreen.loanTplMortgagePayment","Mortgage Payment","Malipo ya Rehani"
"expensesScreen.lenderBank","Bank","Benki"
"expensesScreen.lenderEmployer","Employer","Mwajiri"
"expensesScreen.lenderFamily","Family","Familia"
"expensesScreen.lenderCoop","Co-op","Ushirikiano"
"expensesScreen.lenderMicrofinance","Microfinance","Fedha ndogo"
"expensesScreen.freqWeekly","Weekly","Kila wiki"
"expensesScreen.freqBiweekly","Biweekly","Kila wiki"
"expensesScreen.freqMonthly","Monthly","Kila mwezi"
"expensesScreen.loanDetails","Loan Details","Maelezo ya Mkopo"
"expensesScreen.autofillScan","Auto-fill with Scan","Jaza kiotomatiki kwa Kuchanganua"
"expensesScreen.analyzingReceipt","Analyzing Receipt...","Inachanganua Risiti..."
"expensesScreen.autoCalculatedFromItems","Auto-calculated from itemized lines.","Imekokotwa kiotomatiki kutoka kwa mistari maalum."
"expensesScreen.itemizedList","Itemized List","Orodha Iliyowekwa"
"expensesScreen.itemizedListSubtitle","Break down your receipt items","Changanua vitu vyako vya risiti"
"expensesScreen.hide","Hide","Ficha"
"expensesScreen.addItems","Add Items","Ongeza Vipengee"
"expensesScreen.addAnotherItem","Add Another Item","Ongeza Kipengee Nyingine"
"expensesScreen.runningTotal","Running Total","Jumla ya Kukimbia"
"expensesScreen.itemsIndexed","{{count}} Items Indexed","{{count}} Vipengee Vilivyoorodheshwa"
"expensesScreen.whatDidYouBuy","What did you buy?","Ulinunua nini?"
"expensesScreen.logRepayment","Log Repayment","Ulipaji wa logi"
"expensesScreen.forLabel","For: {{name}}","Kwa: {{name}}"
"expensesScreen.repaymentAmount","Repayment Amount ({{code}})","Kiasi cha Marejesho ({{code}})"
"expensesScreen.paymentDate","Payment Date","Tarehe ya Malipo"
"expensesScreen.loanDetail","Loan Detail","Maelezo ya Mkopo"
"expensesScreen.totalLoan","TOTAL LOAN","JUMLA YA MKOPO"
"expensesScreen.remaining","REMAINING","ILIYOBAKI"
"expensesScreen.status","STATUS","HALI"
"expensesScreen.statusActive","Active","Inayotumika"
"expensesScreen.progress","PROGRESS","MAENDELEO"
"expensesScreen.percentPaid","{{percent}}% Paid","{{percent}}% Imelipwa"
"expensesScreen.repaymentHistory","Repayment History","Historia ya Urejeshaji"
"expensesScreen.paymentsCount","{{count}} Payments","{{count}} Malipo"
"expensesScreen.fetchingHistory","Fetching history...","Inaleta historia..."
"expensesScreen.noRepaymentsLog","No repayments log yet","Bado hakuna kumbukumbu ya malipo"
"expensesScreen.repaymentNumber","Repayment #{{number}}","Malipo #{{number}}"
"expensesScreen.newRepayment","New Repayment","Ulipaji Mpya"
"expensesScreen.save","Save","Hifadhi"
"expensesScreen.cancel","Cancel","Ghairi"
"expensesScreen.permissionRequiredTitle","Permission Required","Ruhusa Inahitajika"
"expensesScreen.permissionMediaBody","Permission to access camera roll is required!","Ruhusa ya kufikia orodha ya kamera inahitajika!"
"expensesScreen.permissionCameraBody","Permission to access camera is required!","Ruhusa ya kufikia kamera inahitajika!"
"expensesScreen.scanReceiptTitle","Scan Receipt","Changanua Risiti"
"expensesScreen.chooseOption","Choose an option","Chagua chaguo"
"expensesScreen.takePhoto","Take Photo","Piga Picha"
"expensesScreen.chooseGallery","Choose from Gallery","Chagua kutoka kwenye Matunzio"
"expensesScreen.scanFailedTitle","Scanning Failed","Imeshindwa kuchanganua"
"expensesScreen.successTitle","Success","Mafanikio"
"expensesScreen.errorTitle","Error","Hitilafu"
"expensesScreen.receiptScanned","Receipt scanned! Details updated.","Risiti imechanganuliwa! Maelezo yamesasishwa."
"expensesScreen.failedToPickImage","Failed to pick image","Imeshindwa kuchagua picha"
"expensesScreen.failedToScanReceipt","Failed to scan receipt","Imeshindwa kuchanganua risiti"
"expensesScreen.confirmDeletionTitle","Confirm Deletion","Thibitisha Ufutaji"
"expensesScreen.confirmDeletionBody","Are you sure you want to delete this {{category}}? This action cannot be undone.","Je, una uhakika unataka kufuta {{category}} hii? Kitendo hiki hakiwezi kutenduliwa."
"expensesScreen.deleteAction","Delete","Futa"
"expensesScreen.entryAddedSuccess","Entry added successfully.","Ingizo limeongezwa."
"expensesScreen.entryUpdatedSuccess","Entry updated successfully.","Ingizo limesasishwa."
"expensesScreen.paymentLoggedSuccess","Payment logged successfully.","Malipo yameingia."
"expensesScreen.entryDeletedSuccess","Entry deleted successfully.","Ingizo limefutwa."
"expensesScreen.invalidCategoryDeletion","Invalid category for deletion.","Kategoria batili ya kufutwa."
"expensesScreen.failedToFetch","Failed to fetch financial data.","Imeshindwa kuleta data ya fedha."
"expensesScreen.failedAdd","Failed to add entry.","Imeshindwa kuongeza ingizo."
"expensesScreen.failedUpdate","Failed to update entry.","Imeshindwa kusasisha ingizo."
"expensesScreen.failedLogPayment","Failed to log payment.","Imeshindwa kuweka malipo."
"expensesScreen.failedDelete","Failed to delete entry.","Imeshindwa kufuta ingizo."
"expensesScreen.validationAmountRequired","Amount is required","Kiasi kinahitajika"
"expensesScreen.validationAmountValid","Please enter a valid positive amount.","Tafadhali weka kiasi chanya halali."
"expensesScreen.validationDateRequired","Date is required","Tarehe inahitajika"
"expensesScreen.validationDateFormat","Please use YYYY-MM-DD format.","Tafadhali tumia umbizo la YYYY-MM-DD."
"expensesScreen.validationDescRequired","Description is required.","Maelezo inahitajika."
"calculatorScreen.pageEyebrow","Salary Estimator","Mkadiriaji wa Mishahara"
"calculatorScreen.pageTitle","Calculator","Kikokotoo"
"calculatorScreen.badgeIndustryRates","Industry rates","Viwango vya sekta"
"calculatorScreen.badgeClockInData","Clock-in data","Data ya saa"
"calculatorScreen.badgeRealtime","Real-time","Wakati halisi"
"calculatorScreen.loadingData","Loading calculator data...","Inapakia data ya kikokotoo..."
"calculatorScreen.monthlyRsLabel","Monthly: {{symbol}} {{amount}}","Kila mwezi: {{symbol}} {{amount}}"
"calculatorScreen.dailyRsLabel","Daily: {{symbol}} {{amount}}","Kila siku: {{symbol}} {{amount}}"
"calculatorScreen.cancel","Cancel","Ghairi"
"calculatorScreen.done","Done","Imekamilika"
"calculatorScreen.estimateUpdatedTitle","Estimate updated","Kadirio limesasishwa"
"calculatorScreen.estimateUpdatedBody","Estimate updated to {{symbol}} {{amount}} based on {{daysLabel}}. Press Calculate to apply.","Kadirio limesasishwa hadi {{symbol}} {{amount}} kulingana na {{daysLabel}}. Bonyeza Kokotoa ili kuomba."
"calculatorScreen.noProfileSalaryTitle","No profile salary","Hakuna mshahara wa wasifu"
"calculatorScreen.noProfileSalaryBody","Please ensure your profile has a valid salary amount to use Clock-In calculator.","Tafadhali hakikisha wasifu wako una kiasi halali cha mshahara cha kutumia kikokotoo cha Saa-Katika."
"calculatorScreen.invalidHourlyRateTitle","Invalid Hourly Rate","Kiwango Batili cha Kila Saa"
"calculatorScreen.invalidHourlyRateBody","Unable to calculate hourly rate from profile salary ({{symbol}} {{amount}}). Please check your profile settings.","Haiwezi kukokotoa kiwango cha saa kutoka kwa mshahara wa wasifu ({{symbol}} {{amount}}). Tafadhali angalia mipangilio ya wasifu wako."
"calculatorScreen.noClockInsTitle","No Clock-Ins Found","Hakuna Saa-Ins zilizopatikana"
"calculatorScreen.noClockInsBodyRange","No clock-ins found in range {{start}} - {{end}}. Try 'Custom Range' to select specific dates.","Hakuna saa zinazopatikana katika safu {{start}} - {{end}}. Jaribu 'Safu Maalum' ili kuchagua tarehe mahususi."
"calculatorScreen.noClockInsBodyEmpty","No clock-in records available. Please ensure you have recorded time entries.","Hakuna rekodi za saa zinazopatikana. Tafadhali hakikisha kuwa umerekodi maingizo ya saa."
"calculatorScreen.calculationErrorTitle","Calculation Error","Hitilafu ya Kuhesabu"
"calculatorScreen.calculationErrorBody","Unable to calculate from clock-ins. Please ensure your profile is complete.","Haiwezi kukokotoa kutoka kwa saa kuingia. Tafadhali hakikisha wasifu wako umekamilika."
"calculatorScreen.automaticCalculationUpdated","Automatic calculation updated!","Hesabu otomatiki imesasishwa!"
"calculatorScreen.validationPaymentFrequencyRequired","Payment frequency is required","Mzunguko wa malipo unahitajika"
"calculatorScreen.validationPositiveNumber","Enter a valid positive number","Weka nambari chanya halali"
"calculatorScreen.validationServiceYears","Enter years of service as ""<1"", ""X+"" or an integer between 1 and 50","Weka miaka ya huduma kama ""<1"", ""X+"" au nambari kamili kati ya 1 na 50"
"calculatorScreen.validationEndBeforeStart","End date cannot be before start date.","Tarehe ya mwisho haiwezi kuwa kabla ya tarehe ya kuanza."
"sponsored.from","From {{name}}","Kutoka {{name}}"
"sponsored.fromKontokaz","From Kiruko","Kutoka Kiruko"
"sponsored.sponsoredPill","SPONSORED","IMEDHAMINIWA"
"sponsored.announcementPill","ANNOUNCEMENT","TANGAZO"
"sponsored.promotedPill","PROMOTED","IMETANGAZWA"
"sponsored.dismiss","Dismiss","Ondoa"
"sponsored.imageA11y","Sponsored content image","Picha ya maudhui yanayofadhiliwa"
"sponsored.consentTitle","Personalised ads","Matangazo ya kibinafsi"
"sponsored.consentBody","Kiruko can show sponsored cards from partner companies on your home screen. Accepting helps fund the app for your employer. You can change this anytime from Settings.","Kiruko inaweza kuonyesha kadi zinazofadhiliwa kutoka kwa makampuni washirika kwenye skrini yako ya kwanza. Kukubali husaidia kufadhili programu kwa mwajiri wako. Unaweza kubadilisha hii wakati wowote kutoka kwa Mipangilio."
"sponsored.consentAccept","Allow ads","Ruhusu matangazo"
"sponsored.consentDecline","No thanks","Hapana asante"
"sponsored.consentLearnMore","How we use your data","Jinsi tunavyotumia data yako"
"sponsored.adPreferencesTitle","Ad preferences","Mapendeleo ya matangazo"
"sponsored.adPreferencesSubtitle","Control whether you see sponsored cards on the home screen.","Dhibiti ikiwa unaona kadi zinazofadhiliwa kwenye skrini ya kwanza."
"sponsored.adPreferencesRow","Personalised ads","Matangazo ya kibinafsi"
"sponsored.adPreferencesEnabled","Ads are on","Matangazo yamewashwa"
"sponsored.adPreferencesDisabled","Ads are off","Matangazo yamezimwa"
"sponsored.adPreferencesWithdraw","Turning this off withdraws consent and stops ad serving immediately.","Kuzima hii huondoa kibali na husimamisha matangazo mara moja."
"notificationPrefs.title","Notifications","Arifa"
"notificationPrefs.subtitle","Choose which alerts you get in-app and as push notifications. Changes apply to future notifications.","Chagua arifa unazopata ndani ya programu na kama arifa zinazotumwa na programu hata wakati huitumii. Mabadiliko yatatumika kwa arifa za siku zijazo."
"notificationPrefs.category","Category","Kitengo"
"notificationPrefs.inApp","In-app","Ndani ya programu"
"notificationPrefs.push","Push","Sukuma"
"notificationPrefs.leave","Leave","Ondoka"
"notificationPrefs.overtime","Overtime","Saa za Ziada"
"notificationPrefs.attendance","Attendance","Mahudhurio"
"notificationPrefs.compliance","Compliance","Kuzingatia"
"notificationPrefs.disputes","Disputes","Migogoro"
"notificationPrefs.general","General","Mkuu"
"notificationPrefs.settingsRow","Notification Alerts","Arifa za Arifa"
"notificationPrefs.settingsRowSubtitle","Choose which alerts you get & how","Chagua arifa unazopata na jinsi gani"
